Gene,Score_gda,EI_gda,ensembl
CNTN1,0.03,1.0,ENSG00000018236
COL1A1,0.01,1.0,ENSG00000108821
COL1A2,0.02,1.0,ENSG00000164692
COL3A1,0.01,1.0,ENSG00000168542
COL4A5,0.1,1.0,ENSG00000188153
COL5A1,0.01,1.0,ENSG00000130635
TAF8,0.01,1.0,ENSG00000137413
COL10A1,0.01,1.0,ENSG00000123500
COL11A1,0.01,1.0,ENSG00000060718
OSR1,0.01,1.0,ENSG00000143867
KLF6,0.02,1.0,ENSG00000067082
OCIAD2,0.01,1.0,ENSG00000145247
MAP3K8,0.01,1.0,ENSG00000107968
COX7A1,0.01,1.0,ENSG00000161281
ADORA2A,0.01,1.0,ENSG00000128271
COX8A,0.02,1.0,ENSG00000176340
CP,0.01,1.0,ENSG00000047457
MUCL3,0.1,1.0,ENSG00000168631
CPA3,0.01,1.0,ENSG00000163751
CLDN4,0.02,1.0,ENSG00000189143
CLDN3,0.03,1.0,ENSG00000165215
CLDN7,0.03,1.0,ENSG00000181885
CPM,0.01,1.0,ENSG00000135678
CPOX,0.01,1.0,ENSG00000080819
CREB1,0.01,1.0,ENSG00000118260
CREBBP,0.33,1.0,ENSG00000005339
CRK,0.08,1.0,ENSG00000167193
CRKL,0.03,1.0,ENSG00000099942
CRMP1,0.01,1.0,ENSG00000072832
S100A16,0.03,1.0,ENSG00000188643
PARP1,0.06,1.0,ENSG00000143799
VTI1A,0.1,1.0,ENSG00000151532
MAPK14,0.38,1.0,ENSG00000112062
EIF5AL1,0.01,1.0,ENSG00000253626
CSF1R,0.01,1.0,ENSG00000182578
LAYN,0.01,1.0,ENSG00000204381
E2F7,0.01,1.0,ENSG00000165891
CST6,0.01,1.0,ENSG00000175315
ADRA1A,0.01,1.0,ENSG00000120907
ZNF569,0.01,1.0,ENSG00000196437
CTBP1,0.01,1.0,ENSG00000159692
CCN2,0.02,1.0,ENSG00000118523
CTLA4,0.04,1.0,ENSG00000163599
CTNNB1,0.5,1.0,ENSG00000168036
CTNND1,0.02,1.0,ENSG00000198561
SIK1,0.01,1.0,ENSG00000142178
CTNND2,0.02,1.0,ENSG00000169862
CKAP2L,0.01,1.0,ENSG00000169607
ITPRIPL1,0.01,1.0,ENSG00000198885
CTSD,0.02,1.0,ENSG00000117984
CTSE,0.01,1.0,ENSG00000196188
RMDN2,0.01,1.0,ENSG00000115841
CTSL,0.01,1.0,ENSG00000135047
XXYLT1,0.02,1.0,ENSG00000173950
NEK10,0.1,1.0,ENSG00000163491
CUX1,0.01,1.0,ENSG00000257923
CXADR,0.01,1.0,ENSG00000154639
SHISA3,0.01,1.0,ENSG00000178343
ADRB1,0.01,1.0,ENSG00000043591
CYLD,0.01,1.0,ENSG00000083799
CYP1A1,0.09,0.889,ENSG00000140465
CYP1B1,0.02,1.0,ENSG00000138061
AMOT,0.01,1.0,ENSG00000126016
CYP2A13,0.32,1.0,ENSG00000197838
PEBP4,0.01,1.0,ENSG00000134020
CYP3A5,0.01,1.0,ENSG00000106258
CYP24A1,0.04,1.0,ENSG00000019186
DAB2,0.01,1.0,ENSG00000153071
DACH1,0.05,1.0,ENSG00000276644
DGKA,0.01,1.0,ENSG00000065357
SLC5A8,0.01,1.0,ENSG00000256870
GPR180,0.01,1.0,ENSG00000152749
DAP,0.01,1.0,ENSG00000112977
CLEC14A,0.01,1.0,ENSG00000176435
DAPK1,0.01,1.0,ENSG00000196730
DCK,0.01,1.0,ENSG00000156136
DCN,0.01,1.0,ENSG00000011465
SASS6,0.01,1.0,ENSG00000156876
PAQR7,0.02,1.0,ENSG00000182749
DDB1,0.02,1.0,ENSG00000167986
AKR1C2,0.01,1.0,ENSG00000151632
GADD45A,0.01,1.0,ENSG00000116717
TLE5,0.01,1.0,ENSG00000104964
DHX9,0.01,1.0,ENSG00000135829
DHX15,0.01,1.0,ENSG00000109606
DECR1,0.02,1.0,ENSG00000104325
TIMM8A,0.26,1.0,ENSG00000126953
PPP1R18,0.1,1.0,ENSG00000146112
ZNF384,0.01,1.0,ENSG00000126746
DGUOK,0.01,1.0,ENSG00000114956
DHFR,0.01,1.0,ENSG00000228716
NQO1,0.07,0.857,ENSG00000181019
DIO3,0.02,1.0,ENSG00000197406
DLD,0.01,1.0,ENSG00000091140
AGER,0.06,1.0,ENSG00000204305
DNMT1,0.02,1.0,ENSG00000130816
DNMT3A,0.11,1.0,ENSG00000119772
DNMT3B,0.01,1.0,ENSG00000088305
DPP4,0.01,1.0,ENSG00000197635
DPYD,0.03,1.0,ENSG00000188641
ATN1,0.02,1.0,ENSG00000111676
AGT,0.01,1.0,ENSG00000135744
DUSP4,0.02,1.0,ENSG00000120875
DUSP6,0.03,1.0,ENSG00000139318
AGTR1,0.01,1.0,ENSG00000144891
E2F1,0.06,1.0,ENSG00000101412
E2F3,0.05,1.0,ENSG00000112242
E2F4,0.01,1.0,ENSG00000205250
ECT2,0.06,1.0,ENSG00000114346
ABCA1,0.01,1.0,ENSG00000165029
S1PR1,0.02,1.0,ENSG00000170989
LPAR1,0.01,1.0,ENSG00000198121
S1PR3,0.01,1.0,ENSG00000213694
EDNRA,0.01,1.0,ENSG00000151617
AHCY,0.3,1.0,ENSG00000101444
EDNRB,0.01,1.0,ENSG00000136160
EEF1A2,0.01,1.0,ENSG00000101210
EFNA1,0.01,1.0,ENSG00000169242
EFNB2,0.01,1.0,ENSG00000125266
MEGF8,0.01,1.0,ENSG00000105429
EGFR,0.7,0.978,ENSG00000146648
EGR1,0.04,1.0,ENSG00000120738
AHR,0.4,1.0,ENSG00000106546
MPZL3,0.1,1.0,ENSG00000160588
EIF2B1,0.3,1.0,ENSG00000111361
EPHA2,0.01,1.0,ENSG00000142627
FAM227B,0.1,1.0,ENSG00000166262
EIF4E,0.05,1.0,ENSG00000151247
EIF4EBP1,0.01,1.0,ENSG00000187840
EIF4G2,0.01,1.0,ENSG00000110321
EIF5,0.01,1.0,ENSG00000100664
EIF5A,0.01,1.0,ENSG00000132507
ELANE,0.01,1.0,ENSG00000197561
TTC21A,0.01,1.0,ENSG00000168026
ELAVL2,0.08,0.875,ENSG00000107105
ELF3,0.02,1.0,ENSG00000163435
ELK1,0.01,1.0,ENSG00000126767
GKN2,0.01,1.0,ENSG00000183607
LIPH,0.01,1.0,ENSG00000163898
EMD,0.01,1.0,ENSG00000102119
CTTN,0.01,1.0,ENSG00000085733
ENO1,0.35,1.0,ENSG00000074800
KHDRBS2,0.01,1.0,ENSG00000112232
ENO2,0.03,1.0,ENSG00000111674
AK1,0.01,1.0,ENSG00000106992
TUBB,0.01,1.0,ENSG00000196230
EP300,0.31,1.0,ENSG00000100393
EPAS1,0.07,1.0,ENSG00000116016
VMA21,0.01,1.0,ENSG00000160131
AK2,0.01,1.0,ENSG00000004455
EPHA1,0.01,1.0,ENSG00000146904
EPHA3,0.32,1.0,ENSG00000044524
EPHA4,0.01,1.0,ENSG00000116106
EPHA5,0.4,1.0,ENSG00000145242
EPHB1,0.11,1.0,ENSG00000154928
EPHB2,0.1,1.0,ENSG00000133216
AK4,0.02,1.0,ENSG00000162433
EPHB6,0.02,1.0,ENSG00000106123
EPOR,0.01,1.0,ENSG00000187266
NR2F6,0.01,1.0,ENSG00000160113
ERBB2,0.5,0.987,ENSG00000141736
ERBB3,0.1,1.0,ENSG00000065361
ERBB4,0.02,1.0,ENSG00000178568
ERCC1,0.4,1.0,ENSG00000012061
ERCC2,0.04,1.0,ENSG00000104884
EREG,0.01,1.0,ENSG00000124882
AKT1,0.4,1.0,ENSG00000142208
EYA4,0.01,1.0,ENSG00000112319
AKT2,0.04,1.0,ENSG00000105221
ERN1,0.31,1.0,ENSG00000178607
FBL,0.3,1.0,ENSG00000105202
ESR1,0.1,1.0,ENSG00000091831
ABCA3,0.01,1.0,ENSG00000167972
ESR2,0.07,1.0,ENSG00000140009
ESRRA,0.01,1.0,ENSG00000173153
ETS1,0.01,1.0,ENSG00000134954
ETS2,0.01,1.0,ENSG00000157557
ETV4,0.01,1.0,ENSG00000175832
ETV5,0.01,1.0,ENSG00000244405
EYA2,0.02,1.0,ENSG00000064655
ALCAM,0.02,1.0,ENSG00000170017
EZH2,0.1,1.0,ENSG00000106462
F2RL1,0.02,1.0,ENSG00000164251
F3,0.01,1.0,ENSG00000117525
ALDH1A1,0.04,1.0,ENSG00000165092
FAAH,0.01,1.0,ENSG00000117480
FABP4,0.01,1.0,ENSG00000170323
ALDH2,0.01,1.0,ENSG00000111275
FANCC,0.01,1.0,ENSG00000158169
ALDH3A1,0.02,1.0,ENSG00000108602
ACSL4,0.3,1.0,ENSG00000068366
BPTF,0.12,1.0,ENSG00000171634
FASN,0.31,1.0,ENSG00000169710
MED19,0.01,1.0,ENSG00000156603
ENKUR,0.01,1.0,ENSG00000151023
FBLN2,0.01,1.0,ENSG00000163520
ALDH1A3,0.01,1.0,ENSG00000184254
ALKBH3,0.01,1.0,ENSG00000166199
FEN1,0.02,1.0,ENSG00000168496
FER,0.01,1.0,ENSG00000151422
FGF2,0.04,1.0,ENSG00000138685
FGF7,0.1,1.0,ENSG00000140285
FGF9,0.05,1.0,ENSG00000102678
ALDOA,0.3,1.0,ENSG00000149925
FGFR1,0.07,0.857,ENSG00000077782
FGFR3,0.65,1.0,ENSG00000068078
GPC5,0.05,1.0,ENSG00000179399
FGFR2,0.44,0.833,ENSG00000066468
FGFR4,0.34,1.0,ENSG00000160867
FHIT,0.01,1.0,ENSG00000189283
FHL1,0.01,1.0,ENSG00000022267
VEGFD,0.02,1.0,ENSG00000165197
ITGA11,0.01,1.0,ENSG00000137809
VASH1,0.01,1.0,ENSG00000071246
NLRP1,0.01,1.0,ENSG00000091592
SEC31A,0.01,1.0,ENSG00000138674
ZHX2,0.01,1.0,ENSG00000178764
CLSTN1,0.01,1.0,ENSG00000171603
RUFY3,0.01,1.0,ENSG00000018189
RALY,0.1,1.0,ENSG00000125970
MMRN1,0.01,1.0,ENSG00000138722
ATF6,0.01,1.0,ENSG00000118217
SEPHS2,0.01,1.0,ENSG00000179918
RAB3GAP1,0.01,1.0,ENSG00000115839
CCT5,0.3,1.0,ENSG00000150753
FOXC1,0.01,1.0,ENSG00000054598
TPX2,0.03,1.0,ENSG00000088325
ACIN1,0.01,1.0,ENSG00000100813
ABCF1,0.1,1.0,ENSG00000204574
FAIM2,0.01,1.0,ENSG00000135472
KDM4B,0.01,1.0,ENSG00000127663
PHLPP2,0.01,1.0,ENSG00000040199
WDTC1,0.01,1.0,ENSG00000142784
FOXM1,0.1,1.0,ENSG00000111206
GGA2,0.01,1.0,ENSG00000103365
SETX,0.01,1.0,ENSG00000107290
ERP44,0.01,1.0,ENSG00000023318
FOXO1,0.01,1.0,ENSG00000150907
FOXO3,0.35,1.0,ENSG00000118689
SIPA1L3,0.01,1.0,ENSG00000105738
EPB41L3,0.08,1.0,ENSG00000082397
TBC1D9,0.03,1.0,ENSG00000109436
FLNA,0.01,1.0,ENSG00000196924
LPIN1,0.01,1.0,ENSG00000134324
DIP2A,0.01,1.0,ENSG00000160305
FLOT2,0.02,1.0,ENSG00000132589
FBXL7,0.01,1.0,ENSG00000183580
FLT1,0.31,1.0,ENSG00000102755
JMJD6,0.02,1.0,ENSG00000070495
RRS1,0.3,1.0,ENSG00000179041
SULF1,0.01,1.0,ENSG00000137573
FLT3,0.01,1.0,ENSG00000122025
NUP210,0.01,1.0,ENSG00000132182
PHLPP1,0.01,1.0,ENSG00000081913
FLT4,0.02,1.0,ENSG00000037280
OTUD3,0.01,1.0,ENSG00000169914
WWC1,0.01,1.0,ENSG00000113645
FBXW11,0.01,1.0,ENSG00000072803
ATMIN,0.01,1.0,ENSG00000166454
USP22,0.04,1.0,ENSG00000124422
FN1,0.02,1.0,ENSG00000115414
SUN1,0.01,1.0,ENSG00000164828
ZNF629,0.01,1.0,ENSG00000102870
UFL1,0.01,1.0,ENSG00000014123
DICER1,0.01,1.0,ENSG00000100697
SIRT3,0.01,1.0,ENSG00000142082
SIRT1,0.04,1.0,ENSG00000096717
ZFPM2,0.02,1.0,ENSG00000169946
SLC44A1,0.01,1.0,ENSG00000070214
FOLH1,0.01,1.0,ENSG00000086205
FOLR1,0.06,1.0,ENSG00000110195
FOLR2,0.02,1.0,ENSG00000165457
RPL13A,0.3,1.0,ENSG00000142541
CLCF1,0.01,1.0,ENSG00000175505
FOS,0.01,1.0,ENSG00000170345
FOSB,0.01,1.0,ENSG00000125740
PIGN,0.3,1.0,ENSG00000197563
FPGS,0.01,1.0,ENSG00000136877
DDAH1,0.01,1.0,ENSG00000153904
SMUG1,0.1,1.0,ENSG00000123415
OPN3,0.01,1.0,ENSG00000054277
CBLC,0.01,1.0,ENSG00000142273
LDOC1,0.01,1.0,ENSG00000182195
SLC7A11,0.02,1.0,ENSG00000151012
SH3BP4,0.01,1.0,ENSG00000130147
CADM1,0.25,0.833,ENSG00000182985
ALK,0.7,0.977,ENSG00000171094
ALOX5,0.3,1.0,ENSG00000012779
ALOX5AP,0.01,1.0,ENSG00000132965
KIF4A,0.01,1.0,ENSG00000090889
CLDN15,0.01,1.0,ENSG00000106404
ALOX15B,0.01,1.0,ENSG00000179593
MTOR,0.08,1.0,ENSG00000198793
FRZB,0.01,1.0,ENSG00000162998
ABL1,0.03,1.0,ENSG00000097007
FUS,0.01,1.0,ENSG00000089280
FUT1,0.01,1.0,ENSG00000174951
FUT2,0.02,1.0,ENSG00000176920
FUT3,0.01,1.0,ENSG00000171124
FUT4,0.02,1.0,ENSG00000196371
RICTOR,0.01,1.0,ENSG00000164327
G6PD,0.01,1.0,ENSG00000160211
SFTA3,0.02,1.0,ENSG00000229415
XRCC6,0.3,1.0,ENSG00000196419
GABBR1,0.1,1.0,ENSG00000204681
GABPA,0.1,1.0,ENSG00000154727
PCSK9,0.01,1.0,ENSG00000169174
GK5,0.01,1.0,ENSG00000175066
GAD1,0.01,1.0,ENSG00000128683
RAD54B,0.02,1.0,ENSG00000197275
SPDEF,0.01,1.0,ENSG00000124664
KLK5,0.01,1.0,ENSG00000167754
ARIH1,0.01,1.0,ENSG00000166233
MTO1,0.01,1.0,ENSG00000135297
ASF1A,0.01,1.0,ENSG00000111875
GALK2,0.1,1.0,ENSG00000156958
ARMC8,0.01,1.0,ENSG00000114098
BRMS1,0.02,1.0,ENSG00000174744
PRKD2,0.31,1.0,ENSG00000105287
TRIM58,0.01,1.0,ENSG00000162722
RNF19A,0.07,1.0,ENSG00000034677
GALNT3,0.01,1.0,ENSG00000115339
ASPM,0.02,1.0,ENSG00000066279
CLIC4,0.01,1.0,ENSG00000169504
WWTR1,0.02,1.0,ENSG00000018408
SAMHD1,0.01,1.0,ENSG00000101347
NECTIN3,0.01,1.0,ENSG00000177707
ADGRA2,0.01,1.0,ENSG00000020181
GAPDH,0.32,1.0,ENSG00000111640
SH2B1,0.01,1.0,ENSG00000178188
EGFL6,0.01,1.0,ENSG00000198759
REXO2,0.01,1.0,ENSG00000076043
GORASP2,0.01,1.0,ENSG00000115806
ACOT11,0.01,1.0,ENSG00000162390
POLDIP2,0.07,1.0,ENSG00000004142
DCAF4,0.01,1.0,ENSG00000119599
PRPF31,0.02,1.0,ENSG00000105618
GART,0.3,1.0,ENSG00000159131
GAS6,0.02,1.0,ENSG00000183087
PHGDH,0.02,1.0,ENSG00000092621
GATA1,0.03,1.0,ENSG00000102145
GATA2,0.01,1.0,ENSG00000179348
GATA3,0.06,1.0,ENSG00000107485
FBXO22,0.01,1.0,ENSG00000167196
GATA6,0.02,1.0,ENSG00000141448
AK5,0.1,1.0,ENSG00000154027
MYCBP,0.01,1.0,ENSG00000214114
GBE1,0.02,1.0,ENSG00000114480
GBP1,0.01,1.0,ENSG00000117228
PLEK2,0.01,1.0,ENSG00000100558
TIMM10,0.3,1.0,ENSG00000134809
LATS2,0.33,1.0,ENSG00000150457
RGS17,0.01,1.0,ENSG00000091844
GREM1,0.01,1.0,ENSG00000166923
GEM,0.01,1.0,ENSG00000164949
B4GALT1,0.01,1.0,ENSG00000086062
GHR,0.01,1.0,ENSG00000112964
GJA1,0.02,1.0,ENSG00000152661
ABL2,0.01,1.0,ENSG00000143322
ATP2C1,0.02,1.0,ENSG00000017260
LAT,0.01,1.0,ENSG00000213658
UTP25,0.01,1.0,ENSG00000117597
SND1,0.01,1.0,ENSG00000197157
GJB1,0.02,1.0,ENSG00000169562
LAMP3,0.01,1.0,ENSG00000078081
MTBP,0.01,1.0,ENSG00000172167
FOXP1,0.22,1.0,ENSG00000114861
DKK3,0.02,1.0,ENSG00000050165
AFF4,0.01,1.0,ENSG00000072364
AGO2,0.01,1.0,ENSG00000123908
IL17C,0.01,1.0,ENSG00000124391
GPC3,0.02,1.0,ENSG00000147257
GLB1,0.01,1.0,ENSG00000170266
GCLC,0.01,1.0,ENSG00000001084
HPGDS,0.03,1.0,ENSG00000163106
TOX3,0.02,1.0,ENSG00000103460
UBE2S,0.01,1.0,ENSG00000108106
PRPF19,0.01,1.0,ENSG00000110107
RABGEF1,0.01,1.0,ENSG00000154710
STK39,0.3,1.0,ENSG00000198648
MCAT,0.01,1.0,ENSG00000100294
GLI1,0.04,0.75,ENSG00000111087
SGSM3,0.01,1.0,ENSG00000100359
GLI2,0.02,1.0,ENSG00000074047
EML4,0.4,0.98,ENSG00000143924
GLS,0.01,1.0,ENSG00000115419
GLRX,0.01,1.0,ENSG00000173221
GMDS,0.01,1.0,ENSG00000112699
GNAS,0.12,1.0,ENSG00000087460
AMY1C,0.01,1.0,ENSG00000187733
GNG11,0.3,1.0,ENSG00000127920
GOT1,0.01,1.0,ENSG00000120053
SFN,0.38,1.0,ENSG00000175793
GPC1,0.01,1.0,ENSG00000063660
GPI,0.2,1.0,ENSG00000105220
ANG,0.02,1.0,ENSG00000214274
RASSF3,0.1,1.0,ENSG00000153179
ANGPT1,0.02,1.0,ENSG00000154188
CXCL17,0.02,1.0,ENSG00000189377
LYPD5,0.01,1.0,ENSG00000159871
ZNF763,0.01,1.0,ENSG00000197054
RSPO1,0.01,1.0,ENSG00000169218
DLL1,0.01,1.0,ENSG00000198719
CCDC66,0.01,1.0,ENSG00000180376
RGMB,0.02,1.0,ENSG00000174136
DCBLD1,0.11,1.0,ENSG00000164465
TRIM59,0.01,1.0,ENSG00000213186
GRK6,0.02,1.0,ENSG00000198055
GPX2,0.02,1.0,ENSG00000176153
GPX4,0.01,1.0,ENSG00000167468
GRB2,0.02,1.0,ENSG00000177885
TRIB2,0.02,1.0,ENSG00000071575
LAMTOR2,0.02,1.0,ENSG00000116586
BZW2,0.3,1.0,ENSG00000136261
MCTS1,0.01,1.0,ENSG00000232119
KLF15,0.02,1.0,ENSG00000163884
ATAD2,0.03,1.0,ENSG00000156802
SETD2,0.07,1.0,ENSG00000181555
NR3C1,0.01,1.0,ENSG00000113580
BABAM1,0.1,1.0,ENSG00000105393
ARHGAP35,0.31,1.0,ENSG00000160007
STXBP6,0.01,1.0,ENSG00000168952
RANGRF,0.3,1.0,ENSG00000108961
DROSHA,0.01,1.0,ENSG00000113360
NXT1,0.02,1.0,ENSG00000132661
BRD7,0.01,1.0,ENSG00000166164
CD274,0.1,0.95,ENSG00000120217
GRP,0.02,1.0,ENSG00000134443
GSK3B,0.03,1.0,ENSG00000082701
GSN,0.02,1.0,ENSG00000148180
GSR,0.01,1.0,ENSG00000104687
GSTM1,0.08,0.875,ENSG00000134184
GSTM2,0.01,1.0,ENSG00000213366
